YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,CARRIER,FL_NUM,Route,ORIGIN,DEST,DEST_CITY,DEST_STATE,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,PASSENGERS,EMPFULL,EMPPART,EMPTOTAL,EMPFTE,NET_INCOME,OP_REVENUES
2018,1,1,1,1,2018-01-01,9E,3331,42,ABY,ATL,"Atlanta, GA",GA,700,656,-4,0,0,-1,0700-0759,11,707,745,6,803,751,-12,0,0,-1,0800-0859,0,,0,63,55,38,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,1,1,2018-01-01,9E,3940,42,ABY,ATL,"Atlanta, GA",GA,1511,1510,-1,0,0,-1,1500-1559,11,1521,1558,6,1616,1604,-12,0,0,-1,1600-1659,0,,0,65,54,37,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,2,2,2018-01-02,9E,3409,42,ABY,ATL,"Atlanta, GA",GA,625,620,-5,0,0,-1,0600-0659,13,633,711,9,726,720,-6,0,0,-1,0700-0759,0,,0,61,60,38,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,2,2,2018-01-02,9E,3940,42,ABY,ATL,"Atlanta, GA",GA,1511,1507,-4,0,0,-1,1500-1559,11,1518,1552,6,1616,1558,-18,0,0,-2,1600-1659,0,,0,65,51,34,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,3,3,2018-01-03,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,631,1,1,0,0,0600-0659,11,642,715,11,729,726,-3,0,0,-1,0700-0759,0,,0,59,55,33,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,3,3,2018-01-03,9E,3280,42,ABY,ATL,"Atlanta, GA",GA,1759,1809,10,10,0,0,1700-1759,11,1820,1857,8,1907,1905,-2,0,0,-1,1900-1959,0,,0,68,56,37,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,4,4,2018-01-04,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,623,-7,0,0,-1,0600-0659,46,709,749,7,729,756,27,27,1,1,0700-0759,0,,0,59,93,40,145,0,0,27,0,0,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,4,4,2018-01-04,9E,3280,42,ABY,ATL,"Atlanta, GA",GA,1759,1748,-11,0,0,-1,1700-1759,13,1801,1840,8,1907,1848,-19,0,0,-2,1900-1959,0,,0,68,60,39,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,5,5,2018-01-05,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,621,-9,0,0,-1,0600-0659,20,641,720,5,729,725,-4,0,0,-1,0700-0759,0,,0,59,64,39,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,5,5,2018-01-05,9E,3280,42,ABY,ATL,"Atlanta, GA",GA,1759,1753,-6,0,0,-1,1700-1759,14,1807,1846,14,1907,1900,-7,0,0,-1,1900-1959,0,,0,68,67,39,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,6,6,2018-01-06,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,643,13,13,0,0,0600-0659,32,715,752,6,728,758,30,30,1,2,0700-0759,0,,0,58,75,37,145,13,0,17,0,0,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,6,6,2018-01-06,9E,3298,42,ABY,ATL,"Atlanta, GA",GA,1400,1355,-5,0,0,-1,1400-1459,11,1406,1442,5,1500,1447,-13,0,0,-1,1500-1559,0,,0,60,52,36,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,7,7,2018-01-07,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,625,-5,0,0,-1,0600-0659,22,647,724,5,729,729,,,,,0700-0759,0,,0,59,64,37,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,7,7,2018-01-07,9E,3298,42,ABY,ATL,"Atlanta, GA",GA,1202,2252,650,650,1,12,1200-1259,13,2305,2340,5,1304,2345,641,641,1,12,1300-1359,0,,0,62,53,35,145,641,0,0,0,0,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,7,7,2018-01-07,9E,3280,42,ABY,ATL,"Atlanta, GA",GA,1759,1759,,,,,1700-1759,10,1809,1843,7,1907,1850,-17,0,0,-2,1900-1959,0,,0,68,51,34,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,8,1,2018-01-08,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,1033,243,243,1,12,0600-0659,13,1046,1120,5,729,1125,236,236,1,12,0700-0759,0,,0,59,52,34,145,0,224,0,0,12,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,8,1,2018-01-08,9E,3298,42,ABY,ATL,"Atlanta, GA",GA,1202,1249,47,47,1,3,1200-1259,9,1258,1336,10,1304,1346,42,42,1,2,1300-1359,0,,0,62,57,38,145,0,0,28,0,14,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,8,1,2018-01-08,9E,3280,42,ABY,ATL,"Atlanta, GA",GA,1759,1839,40,40,1,2,1700-1759,10,1849,1924,14,1907,1938,31,31,1,2,1900-1959,0,,0,68,59,35,145,0,0,5,0,26,2677,4191,109,4300,4246,-126.37,674.25
