Carrier,Airport,Hub,,,,Source
AA,LGA,1,,,,https://blog.tripplus.cc/en/30060/hubs-major-airlines-in-north-america 
AA,JFK,1,,,,https://www.anna.aero/2016/12/14/endeavor-air-has-124-aircraft-serving-105-airports/
AA,PHL,1,,,,
AA,DCA,1,,,,
AA,CLT,1,,,,
AA,MIA,1,,,,
AA,ORD,1,,,,
AA,DFW,1,,,,
AA,PHX,1,,,,
AA,LAX,1,,,,
UA,EWR,1,,,,
UA,IAD,1,,,,
UA,ORD,1,,,,
UA,IAH,1,,,,
UA,DEN,1,,,,
UA,SFO,1,,,,
UA,LAX,1,,,,
DL,BOS,1,,,,
DL,LGA,1,,,,
DL,JFK,1,,,,
DL,DTW,1,,,,
DL,CVG,1,,,,
DL,ATL,1,,,,
DL,MSP,1,,,,
DL,SLC,1,,,,
DL,SEA,1,,,,
DL,LAX,1,,,,
WN,BWI,1,,,,
WN,ATL,1,,,,
WN,MCO,1,,,,
WN,FLL,1,,,,
WN,TPA,1,,,,
WN,BNA,1,,,,
WN,MKE,1,,,,
WN,MDW,1,,,,
WN,DAL,1,,,,
WN,HOU,1,,,,
WN,DEN,1,,,,
WN,LAS,1,,,,
WN,PHX,1,,,,
WN,OAK,1,,,,
WN,LAX,1,,,,
WN,SNA,1,,,,
WN,SAN,1,,,,
WN,STL,1,,,,
B6,BOS,1,,,,
B6,JFK,1,,,,
B6,MCO,1,,,,
B6,FLL,1,,,,
B6,SJU,1,,,,
B6,LGB,1,,,,
AS,ANC,1,,,,
AS,SEA,1,,,,
AS,PDX,1,,,,
AS,SFO,1,,,,
AS,LAX,1,,,,
9E,DTW,1,,,,
9E,LGA,1,,,,
9E,JFK,1,,,,
9E,MSP,1,,,,
9E,CVG,1,,,,
9E,RDU,1,,,,
9E,BOS,1,,,,
9E,IND,1,,,,
9E,PIT,1,,,,
9E,ORD,1,,,,
9E,ATL,1,,,,
9E,DSM,1,,,,
